SPR,SPQ,s,Pq,Pr,l,m,median_total_cells,median_resistant_cells,median_transient_cells,median_total_resistant_cells,resistant_fraction,total_resistant_fraction,primary_metric,final_state,num_replicates,replicate_1_primary_metric,replicate_2_primary_metric,replicate_3_primary_metric,replicate_4_primary_metric,replicate_5_primary_metric,replicate_6_primary_metric,replicate_7_primary_metric,replicate_8_primary_metric,replicate_9_primary_metric,replicate_10_primary_metric
2.5,13.75,0.1,1.0677040100347828e-07,0.00820849986238988,1.0677040100347828e-07,5.714285714285714e-07,4132171749.0,1185448372.5,9575.5,1185457948.0,0.2868826477957705,0.2868849651002248,0.2868849651002248,relapsed,10,0.2892070560521558,0.19070644384187685,0.28865864967091404,0.29075015908091917,0.28672031995363095,0.23154804660163295,0.2876059900257075,0.28593575503306357,0.291775841522145,0.28884563044391465
2.5,14.0,0.1,8.31528719103568e-08,0.00820849986238988,8.31528719103568e-08,5.714285714285714e-07,4164362683.0,1180509430.5,6698.5,1180516129.0,0.2834790147647666,0.2834806232942127,0.2834806232942127,relapsed,10,0.2900429894356283,0.2878356289463942,0.2888272228479402,0.28849006986929826,0.2836638492498499,0.282105168235184,0.288014573624778,0.2898075568236901,0.2880567033509163,0.2628637178799948
2.5,14.25,0.1,6.475952175842209e-08,0.00820849986238988,6.475952175842209e-08,5.714285714285714e-07,4077513049.0,1142447606.5,5185.0,1142452791.5,0.28018245258103647,0.2801837241894747,0.2801837241894747,relapsed,10,0.2760816142760624,0.18175373013299473,0.2913520490143068,0.28733112397807714,0.2815949929756572,0.27897102543090546,0.2115499034157445,0.25452172195901657,0.2879537087611737,0.28698633107036964
2.5,14.5,0.1,5.043476625678881e-08,0.00820849986238988,5.043476625678881e-08,5.714285714285714e-07,4228097430.5,1180308140.5,4015.0,1180312155.5,0.27915821711810007,0.27915916671778784,0.27915916671778784,relapsed,10,0.28965171363522013,0.2500631827439679,0.27416710475508843,0.28235749993702935,0.2901178613256962,0.28923779825449675,0.23897977225090156,0.29039265611718246,0.2899768388500731,0.2622178405721339
2.5,14.75,0.1,3.9278635454810394e-08,0.00820849986238988,3.9278635454810394e-08,5.714285714285714e-07,4218210186.0,1191737124.5,3403.5,1191740528.0,0.28252198727680944,0.2825227941356074,0.2825227941356074,relapsed,10,0.2862478765477289,0.26639888713294224,0.27894363501450026,0.29024207083463305,0.2921541995233649,0.30335203460528126,0.2897986910530456,0.2870572794200583,0.28922352077299374,0.15231370256266746
2.5,15.0,0.1,3.059023205018258e-08,0.00820849986238988,3.059023205018258e-08,5.714285714285714e-07,4111476879.5,1166388664.0,2598.5,1166391262.5,0.28369092133672547,0.28369155334806256,0.28369155334806256,relapsed,10,0.2853164003057052,0.2479787761401401,0.29077447682551977,0.2898076462785152,0.2811429628058594,0.2629802244553927,0.22814542309520056,0.2820630107825057,0.28522560650239887,0.2809622398422407
2.5,15.25,0.1,2.3823696675018182e-08,0.00820849986238988,2.3823696675018182e-08,5.714285714285714e-07,4109948782.0,1174980624.0,1962.5,1174982586.5,0.2858869261694853,0.28588740366935306,0.28588740366935306,relapsed,10,0.2806588129822029,0.29165093696345407,0.28547020612889495,0.1852953277475623,0.26679803580484696,0.2885330289344355,0.286387660362458,0.2879909525897149,0.2891559339575653,0.2887977928430477
2.5,15.5,0.1,1.8553913626159786e-08,0.00820849986238988,1.8553913626159786e-08,5.714285714285714e-07,4114195810.0,1167571475.0,1570.5,1167573045.5,0.2837909348315631,0.2837913165586545,0.2837913165586545,relapsed,10,0.2895982742932989,0.27676703293372595,0.282714334814532,0.2888233751639322,0.2699061060211961,0.2860879033110289,0.2864185689280742,0.2788153197279525,0.2847294388391518,0.2859112864246344
2.5,15.75,0.1,1.4449802461092447e-08,0.00820849986238988,1.4449802461092447e-08,5.714285714285714e-07,4242423511.5,1190199972.5,1112.0,1190201084.5,0.28054718471027407,0.2805474468246049,0.2805474468246049,relapsed,10,0.2796516908406737,0.27975180909711184,0.2809075430267493,0.28248808293844685,0.29022648633849896,0.18363111890988346,0.2875610386925089,0.2887294610178973,0.28815561172404425,0.13808980805059284
2.5,16.0,0.1,1.1253517471925913e-08,0.00820849986238988,1.1253517471925913e-08,5.714285714285714e-07,4167100797.0,1171210801.5,955.0,1171211756.5,0.28106130822253783,0.2810615373986597,0.2810615373986597,relapsed,10,0.2728314772956488,0.21159142325240296,0.2854527417084216,0.2817799156989404,0.28343214447859566,0.2895003993813081,0.2892355085799871,0.28992405845747815,0.27675338097802055,0.28682107645734245
2.5,16.25,0.1,8.764248219443636e-09,0.00820849986238988,8.764248219443636e-09,5.714285714285714e-07,4083785673.5,1174701402.0,632.5,1174702034.5,0.2876501109308277,0.28765026581162967,0.28765026581162967,relapsed,10,0.2887229582836596,0.2715388860378921,0.28881116209284624,0.28949311166717145,0.2878580842982835,0.2890446904226768,0.24234341209031326,0.2802188221393488,0.28433079521394716,0.19930239361413402
2.5,16.5,0.1,6.82560337633487e-09,0.00820849986238988,6.82560337633487e-09,5.714285714285714e-07,4158666940.5,1194756469.0,562.5,1194757031.5,0.2872931365011773,0.28729327176086705,0.28729327176086705,relapsed,10,0.28986509987664516,0.2876321540175277,0.2804620755324394,0.28249654142121283,0.289182706197913,0.29105803717339407,0.29098065939173806,0.2771892182792919,0.28081815762703943,0.28830240966066656
2.5,16.75,0.1,5.315785254424422e-09,0.00820849986238988,5.315785254424422e-09,5.714285714285714e-07,4125698798.0,1182400010.0,412.0,1182400422.0,0.2865938760660831,0.2865939759279538,0.2865939759279538,relapsed,10,0.28925478495868634,0.28393640344662735,0.28045063898484024,0.28957603223790845,0.29120191242098825,0.2608756789860457,0.28894821309984864,0.28974656199132326,0.28799820856728253,0.2903404576919748
2.5,17.0,0.1,4.139937718785167e-09,0.00820849986238988,4.139937718785167e-09,5.714285714285714e-07,4198742709.0,1184597878.0,450.0,1184598328.0,0.28213157130605215,0.28213167848099263,0.28213167848099263,relapsed,10,0.29076049793524106,0.2873593859679176,0.2907155280140346,0.26645367201567427,0.1958413838171985,0.2726042558250657,0.27980482947614604,0.28646094479651374,0.2906499657761357,0.28475420454355893
2.5,17.25,0.1,3.2241867372567334e-09,0.00820849986238988,3.2241867372567334e-09,5.714285714285714e-07,4185529452.0,1173862624.0,233.0,1173862857.0,0.28045737999504106,0.2804574356630283,0.2804574356630283,relapsed,10,0.23471389085761804,0.2748770495517424,0.29053752852028836,0.27685909316522667,0.2849292438748405,0.2878394255869108,0.2420928812388476,0.28959623918405575,0.2856006301035124,0.29061067575857275
2.5,17.5,0.1,2.5109991557439817e-09,0.00820849986238988,2.5109991557439817e-09,5.714285714285714e-07,4172086978.0,1178530957.0,184.5,1178531141.5,0.2824799586428948,0.2824800028653669,0.2824800028653669,relapsed,10,0.26111600051297074,0.21748390877374654,0.2847236352371224,0.23810221220922262,0.2898102130414255,0.2753753932518577,0.2851827968156258,0.2905166153162111,0.28691938997830985,0.29168541985649765
