condition_index,replicate_number,final_generation,final_state,initial_size,s,m,q,r,l,idle,final_total_cells,final_sensitive,final_transient,final_resistant,final_n_clones,fraction_sensitive,fraction_transient,fraction_resistant,treatment_schedule,drug_type,doses_given,treatment_active_at_end,total_cell_events,total_driver_mutations,mutation_rate
2,43,324,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4046959787,3897499714,212,149459861,19060,0.9630685549483075,5.2385002855972284e-08,0.036931392666689725,off,abs,0,False,82410776416,52964,6.426829390933523e-07
2,44,320,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4161852707,4000889202,725,160962780,18259,0.9613240745571633,1.742012634855124e-07,0.03867575124157319,off,abs,0,False,75179727825,48216,6.413431039845614e-07
2,45,323,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4112390806,4013724012,27508,98639286,18964,0.9760074373631892,6.689052985884922e-06,0.02398587358382495,off,abs,0,False,81753654011,52689,6.44484954677508e-07
2,46,295,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4216978898,4137713296,241,79265361,15643,0.981203225361741,5.714991842010398e-08,0.01879671748834063,off,abs,0,False,55472901901,35976,6.485328650050569e-07
2,47,322,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4067934074,3958758225,131,109175718,18937,0.9731618440677807,3.22030784218653e-08,0.026838123729140847,off,abs,0,False,81355362894,52022,6.394415579926895e-07
2,48,296,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4264045542,4194854065,78,69191399,16130,0.9837732790800479,1.8292487552423052e-08,0.016226702627464572,off,abs,0,False,56278110898,37121,6.595992546245755e-07
2,49,318,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4074249788,4006374172,47,67875569,16993,0.9833403400547713,1.153586609697579e-08,0.016659648409362574,off,abs,0,False,68319308986,43447,6.359402728868813e-07
2,50,325,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4197292831,4093832283,121,103460427,19710,0.9753506481044472,2.882810536980616e-08,0.024649323067447423,off,abs,0,False,86034432657,54764,6.365358416243853e-07
2,51,326,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4133375169,4039580892,7065,93787212,19149,0.9773080658868205,1.7092568932496048e-06,0.022690224856286207,off,abs,0,False,82965529768,52982,6.386025635966623e-07
2,52,314,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4250684897,4181910810,57,68774030,17682,0.9838204692498993,1.3409603718268745e-08,0.01617951734049695,off,abs,0,False,68721035201,44522,6.478656770780445e-07
2,53,320,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4079953433,3989897609,301,90055523,18603,0.9779272421906586,7.377535183745319e-08,0.02207268403398956,off,abs,0,False,78314058130,50155,6.404341850953957e-07
2,54,326,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4120192842,4021503898,368,98688576,19134,0.9760474939439739,8.931620778734415e-08,0.023952416739818218,off,abs,0,False,83047590090,52840,6.362616897460414e-07
2,55,316,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4236535174,4150920602,270,85614302,17940,0.9797913699559432,6.373132498864035e-08,0.02020856631273186,off,abs,0,False,71737691960,46256,6.447935351166823e-07
2,56,291,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4065022294,4007480484,80,57541730,15182,0.9858446508190294,1.9680088868904982e-08,0.014155329500881698,off,abs,0,False,52864442519,34752,6.573794850387345e-07
2,57,301,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4302771614,4226360381,286,76410947,16669,0.9822413923268947,6.6468784694367e-08,0.017758541204320587,off,abs,0,False,60420489047,39244,6.495147692279155e-07
2,58,325,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4123874962,4040825452,906,83048604,19200,0.9798612928943601,2.196962828282765e-07,0.020138487409357104,off,abs,0,False,80890737095,51894,6.415320451222301e-07
2,59,323,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4149943103,3990904579,90,159038434,19280,0.9616769386825976,2.1687044319942332e-08,0.03832303963035803,off,abs,0,False,85869046037,54462,6.342448473985951e-07
2,60,323,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4077059974,3986780037,138,90279799,18621,0.9778566080519472,3.384792004043255e-08,0.02214335810013277,off,abs,0,False,80839999939,51199,6.333374571825035e-07
2,61,243,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4161237010,4109404884,259,51831867,14490,0.9875440582030198,6.224110748260407e-08,0.012455879555872738,off,abs,0,False,45770878221,30346,6.62997984296422e-07
2,62,325,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4072256451,3977053368,1890,95201193,18891,0.9766215403804882,4.641161534745396e-07,0.023377995503358343,off,abs,0,False,81072781680,51991,6.412879751087381e-07
2,63,305,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4003802946,3926470774,194,77331978,16062,0.9806853201710991,4.84539330772549e-08,0.019314631374967774,off,abs,0,False,61290187192,39401,6.428598411124265e-07
2,64,304,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4165103656,4083653935,44,81449677,16003,0.9804447313375578,1.0563962780762065e-08,0.019555258098479363,off,abs,0,False,57964226986,37681,6.500733635092042e-07
2,65,282,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4075449662,4025452129,133,49997400,14576,0.9877320204771063,3.263443571395533e-08,0.012267946888457974,off,abs,0,False,49174367592,32052,6.518029935013221e-07
2,66,321,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4157243305,4071082300,99,86160906,19223,0.9792744858362338,2.381385758224223e-08,0.020725490349908688,off,abs,0,False,82828138386,52806,6.375369654441674e-07
2,67,321,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4076384148,3996470326,354,79913468,18546,0.9803959050230318,8.684166828920757e-08,0.01960400813530001,off,abs,0,False,78391894867,50309,6.417627751613154e-07
2,68,327,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4073492114,3989177126,835,84314153,19055,0.9793015462801016,2.04983826317038e-07,0.02069824873607206,off,abs,0,False,82829823910,53039,6.403369884937861e-07
2,69,324,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4188105819,4091529164,58,96576597,19633,0.976940254336014,1.384874272681313e-08,0.023059731815243324,off,abs,0,False,84818073969,54296,6.401465803131128e-07
