K,Id,Parent,ParentType,N,Ns,Nr,Nq,T
14023,121571,0,S,14830,14830,0,0,15721
14023,121594,235,S,8397,8397,0,0,15721
14025,121777,0,S,162,162,0,0,15721
14025,121831,0,S,841,841,0,0,15721
14028,122170,0,S,8781,8781,0,0,15721
14028,122204,235,S,13935,13935,0,0,15721
14030,122415,0,S,4180,4180,0,0,15721
14031,122482,0,S,829,829,0,0,15721
14031,122562,235,S,1280,1280,0,0,15721
14031,122575,235,S,19555,19555,0,0,15721
14031,122578,235,S,33089,33089,0,0,15721
14032,122688,0,S,948,948,0,0,15721
14032,122729,681,S,11417,11417,0,0,15721
14033,122757,0,S,2956,2956,0,0,15721
14034,122981,235,S,2987,2987,0,0,15721
14036,123228,235,S,46761,46761,0,0,15721
14037,123306,0,S,613,613,0,0,15721
14038,123404,0,S,7382,7382,0,0,15721
14040,123671,0,S,4925,4925,0,0,15721
14040,123748,235,S,33112,33112,0,0,15721
14043,124152,3056,S,24301,24301,0,0,15721
14050,124965,0,S,2045,2045,0,0,15721
14050,125016,0,S,7560,7560,0,0,15721
14050,125070,1337,S,6304,6304,0,0,15721
14051,125100,0,S,315,315,0,0,15721
14052,125266,0,S,11516,11516,0,0,15721
14054,125543,0,S,3117,3117,0,0,15721
14055,125716,235,S,3043,3043,0,0,15721
14059,126160,0,S,1022,1022,0,0,15721
14062,126655,455,S,429,429,0,0,15721
14063,126786,642,S,6789,6789,0,0,15721
14065,126927,0,S,2361,2361,0,0,15721
14065,126993,0,S,17228,17228,0,0,15721
14066,127038,0,S,704,704,0,0,15721
14066,127162,642,S,13067,13067,0,0,15721
14068,127385,0,S,11498,11498,0,0,15721
14070,127646,0,S,19,19,0,0,15721
14071,127825,681,S,9480,9480,0,0,15721
14076,128431,235,S,29254,29254,0,0,15721
14078,128641,0,S,954,954,0,0,15721
14080,128985,235,S,1721,1721,0,0,15721
14083,129364,235,S,8146,8146,0,0,15721
14083,129395,1880,S,14436,14436,0,0,15721
14088,129947,0,S,11721,11721,0,0,15721
14088,129971,0,S,6224,6224,0,0,15721
14091,130371,0,S,16660,16660,0,0,15721
14092,130495,0,S,4151,4151,0,0,15721
14093,130628,0,S,7650,7650,0,0,15721
14094,130878,235,S,15292,15292,0,0,15721
